"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4,629.94","4,539.19","4,676.13","4,484.27","72.70B","2.28%"
"11/01/2025","4,526.66","4,636.73","4,707.13","4,421.81","3.91M","-2.46%"
"10/01/2025","4,640.67","4,662.11","4,761.83","4,490.87","4.46M","0.00%"
"09/01/2025","4,640.69","4,516.88","4,647.57","4,327.51","5.53M","3.20%"
"08/01/2025","4,496.76","4,069.93","4,516.84","4,037.94","5.11M","10.33%"
"07/01/2025","4,075.59","3,935.91","4,185.21","3,924.72","4.75M","3.54%"
"06/01/2025","3,936.08","3,833.46","3,969.26","3,827.08","2.84M","2.50%"
"05/01/2025","3,840.23","3,794.38","3,960.52","3,782.78","2.35M","1.85%"
"04/01/2025","3,770.57","3,892.78","3,905.26","3,514.12","3.33M","-3.00%"
"03/01/2025","3,887.31","3,899.70","4,025.30","3,855.73","3.26M","-0.07%"
"02/01/2025","3,890.05","3,844.70","3,995.95","3,785.16","3.40M","1.91%"
"01/01/2025","3,817.08","3,931.82","3,934.20","3,704.11","2.74M","-2.99%"
"12/01/2024","3,934.91","3,909.70","4,098.38","3,899.75","3.89M","0.47%"
"11/01/2024","3,916.58","3,882.46","4,200.91","3,812.32","5.14M","0.66%"
"10/01/2024","3,891.04","4,450.37","4,450.37","3,765.16","5.13M","-3.16%"
"09/01/2024","4,017.85","3,307.54","4,038.70","3,145.79","2.94M","20.97%"
"08/01/2024","3,321.43","3,443.14","3,448.34","3,269.53","2.33M","-3.51%"
"07/01/2024","3,442.08","3,458.26","3,545.34","3,352.80","2.88M","-0.57%"
"06/01/2024","3,461.66","3,577.38","3,625.01","3,440.65","2.38M","-3.30%"
"05/01/2024","3,579.92","3,654.05","3,703.03","3,579.92","2.87M","-0.68%"
"04/01/2024","3,604.39","3,551.58","3,645.82","3,470.06","3.11M","1.89%"
"03/01/2024","3,537.48","3,515.06","3,610.74","3,489.39","3.03M","0.61%"
"02/01/2024","3,516.08","3,202.26","3,521.66","3,108.35","2.57M","9.35%"
"01/01/2024","3,215.35","3,426.27","3,426.27","3,171.63","2.87M","-6.29%"
"12/01/2023","3,431.11","3,494.22","3,494.22","3,283.99","2.14M","-1.86%"
"11/01/2023","3,496.20","3,605.76","3,635.79","3,481.45","2.19M","-2.14%"
"10/01/2023","3,572.51","3,678.93","3,711.50","3,450.65","1.83M","-3.17%"
"09/01/2023","3,689.52","3,778.91","3,854.26","3,664.77","1.87M","-2.01%"
"08/01/2023","3,765.27","4,009.18","4,058.24","3,695.03","2.77M","-6.21%"
"07/01/2023","4,014.63","3,853.29","4,064.36","3,798.80","2.35M","4.48%"
"06/01/2023","3,842.45","3,788.59","3,968.01","3,777.78","2.42M","1.16%"
"05/01/2023","3,798.54","4,013.47","4,092.85","3,781.40","3.14M","-5.72%"
"04/01/2023","4,029.09","4,059.62","4,169.67","3,925.44","3.14M","-0.54%"
"03/01/2023","4,050.93","4,068.73","4,137.25","3,935.02","3.49M","-0.46%"
"02/01/2023","4,069.46","4,170.13","4,207.41","4,026.45","2.33M","-2.10%"
"01/01/2023","4,156.86","3,864.84","4,268.15","3,831.25","1.80M","7.37%"
"12/01/2022","3,871.63","3,921.30","4,003.32","3,805.95","2.36M","0.48%"
"11/01/2022","3,853.04","3,519.82","3,877.68","3,517.62","2.92M","9.81%"
"10/01/2022","3,508.70","3,806.56","3,870.22","3,495.95","1.71M","-7.78%"
"09/01/2022","3,804.89","4,066.19","4,128.11","3,801.28","2.07M","-6.72%"
"08/01/2022","4,078.84","4,160.65","4,222.79","4,046.62","2.44M","-2.19%"
"07/01/2022","4,170.10","4,489.52","4,530.32","4,160.87","2.55M","-7.02%"
"06/01/2022","4,485.01","4,086.62","4,515.00","4,057.91","3.51M","9.62%"
"05/01/2022","4,091.52","3,995.35","4,096.20","3,808.57","2.36M","1.87%"
"04/01/2022","4,016.24","4,198.82","4,290.67","3,757.09","2.67M","-4.89%"
"03/01/2022","4,222.60","4,597.85","4,623.43","3,942.86","3.26M","-7.84%"
"02/01/2022","4,581.65","4,638.58","4,672.65","4,488.48","2.17M","0.39%"
"01/01/2022","4,563.77","4,957.98","4,961.45","4,559.83","2.72M","-7.62%"
"12/01/2021","4,940.37","4,831.89","5,143.84","4,823.93","3.49M","2.24%"
"11/01/2021","4,832.03","4,878.13","4,935.49","4,754.00","2.99M","-1.56%"
"10/01/2021","4,908.77","4,915.73","5,002.57","4,840.77","2.35M","0.87%"
"09/01/2021","4,866.38","4,804.69","5,042.80","4,763.30","4.61M","1.26%"
"08/01/2021","4,805.61","4,794.82","5,059.79","4,720.83","4.10M","-0.12%"
"07/01/2021","4,811.17","5,241.20","5,252.26","4,663.90","3.79M","-7.90%"
"06/01/2021","5,224.04","5,320.47","5,352.64","5,058.57","2.85M","-2.02%"
"05/01/2021","5,331.57","5,098.80","5,378.48","4,925.92","2.66M","4.06%"
"04/01/2021","5,123.49","5,059.94","5,181.15","4,900.30","2.75M","1.49%"
"03/01/2021","5,048.36","5,389.25","5,454.97","4,883.66","4.01M","-5.40%"
"02/01/2021","5,336.76","5,356.85","5,930.91","5,318.86","3.01M","-0.28%"
"01/01/2021","5,351.96","5,212.93","5,655.48","5,190.94","4.13M","2.70%"
"12/01/2020","5,211.29","4,963.13","5,215.62","4,849.35","3.29M","5.06%"
"11/01/2020","4,960.25","4,702.75","5,055.19","4,695.44","3.30M","5.64%"
"10/01/2020","4,695.33","4,663.61","4,849.60","4,639.30","1.83M","2.35%"
"09/01/2020","4,587.40","4,803.39","4,877.01","4,554.72","2.67M","-4.75%"
"08/01/2020","4,816.22","4,735.90","4,901.21","4,566.27","3.88M","2.58%"
"07/01/2020","4,695.05","4,172.64","4,878.08","4,163.50","5.95M","12.75%"
"06/01/2020","4,163.96","3,901.73","4,174.42","3,901.73","2.55M","7.68%"
"05/01/2020","3,867.02","3,867.26","3,998.10","3,800.18","1.79M","-1.16%"
"04/01/2020","3,912.58","3,682.30","3,921.70","3,652.32","2.24M","6.14%"
"03/01/2020","3,686.16","3,968.84","4,215.85","3,503.19","3.67M","-6.44%"
"02/01/2020","3,940.05","3,639.91","4,184.44","3,639.91","3.66M","-1.59%"
"01/01/2020","4,003.90","4,121.35","4,223.51","3,972.39","2.15M","-2.26%"
"12/01/2019","4,096.58","3,835.51","4,098.14","3,811.63","2.51M","7.00%"
"11/01/2019","3,828.67","3,883.81","4,030.64","3,804.83","1.85M","-1.49%"
"10/01/2019","3,886.75","3,818.59","3,983.81","3,805.07","1.47M","1.89%"
"09/01/2019","3,814.53","3,803.69","3,985.24","3,799.82","2.17M","0.39%"
"08/01/2019","3,799.59","3,819.32","3,848.24","3,575.86","2.10M","-0.93%"
"07/01/2019","3,835.36","3,899.33","3,942.43","3,745.85","2.13M","0.26%"
"06/01/2019","3,825.59","3,640.61","3,856.09","3,557.02","2.00M","5.39%"
"05/01/2019","3,629.79","3,775.08","3,791.61","3,556.26","2.26M","-7.24%"
"04/01/2019","3,913.21","3,901.17","4,126.09","3,875.45","3.86M","1.06%"
"03/01/2019","3,872.34","3,699.22","3,886.58","3,650.81","4.63M","5.53%"
"02/01/2019","3,669.37","3,225.73","3,762.11","3,207.72","2.81M","14.61%"
"01/01/2019","3,201.63","3,017.07","3,228.87","2,935.83","1.81M","6.34%"
"12/01/2018","3,010.65","3,260.69","3,273.64","2,964.88","1.43M","-5.11%"
"11/01/2018","3,172.69","3,185.20","3,294.60","3,126.29","2.09M","0.60%"
"10/01/2018","3,153.82","3,361.56","3,364.46","3,009.50","1.74M","-8.29%"
"09/01/2018","3,438.86","3,320.69","3,448.26","3,191.40","1.33M","3.13%"
"08/01/2018","3,334.50","3,530.03","3,543.61","3,209.01","1.72M","-5.21%"
"07/01/2018","3,517.66","3,504.46","3,596.51","3,295.73","1.86M","0.19%"
"06/01/2018","3,510.98","3,789.67","3,859.85","3,416.95","1.65M","-7.66%"
"05/01/2018","3,802.38","3,769.93","3,937.46","3,722.07","1.73M","1.21%"
"04/01/2018","3,756.88","3,897.01","3,958.71","3,708.11","1.71M","-3.63%"
"03/01/2018","3,898.50","3,994.87","4,139.53","3,794.26","2.34M","-3.11%"
"02/01/2018","4,023.64","4,276.34","4,287.39","3,759.15","2.16M","-5.90%"
"01/01/2018","4,275.90","4,045.21","4,403.34","4,045.21","3.65M","6.08%"
"12/01/2017","4,030.85","4,003.56","4,086.93","3,955.44","1.99M","0.62%"
"11/01/2017","4,006.10","4,007.91","4,260.64","3,963.03","3.09M","-0.02%"
"10/01/2017","4,006.72","3,910.11","4,033.34","3,855.47","1.81M","4.44%"
"09/01/2017","3,836.50","3,825.34","3,865.29","3,808.38","2.40M","0.38%"
"08/01/2017","3,822.09","3,738.74","3,866.94","3,645.09","2.94M","2.25%"
"07/01/2017","3,737.87","3,667.23","3,755.19","3,610.46","2.62M","1.94%"
"06/01/2017","3,666.80","3,485.22","3,676.53","3,460.45","2.02M","4.98%"
"05/01/2017","3,492.88","3,427.92","3,515.08","3,312.89","1.97M","1.54%"
"04/01/2017","3,439.75","3,476.42","3,526.81","3,399.54","2.29M","-0.47%"
"03/01/2017","3,456.05","3,452.21","3,505.98","3,412.69","2.14M","0.09%"
"02/01/2017","3,452.81","3,390.93","3,492.96","3,347.43","1.77M","1.91%"
"01/01/2017","3,387.96","3,313.95","3,395.88","3,264.21","1.47M","2.35%"
"12/01/2016","3,310.08","3,543.96","3,575.97","3,267.05","2.54M","-6.44%"
"11/01/2016","3,538.00","3,338.71","3,583.72","3,322.08","3.19M","6.05%"
"10/01/2016","3,336.28","3,265.36","3,382.83","3,258.96","1.48M","2.55%"
"09/01/2016","3,253.28","3,326.74","3,357.36","3,214.44","1.44M","-2.24%"
"08/01/2016","3,327.79","3,196.43","3,418.69","3,156.75","2.37M","3.87%"
"07/01/2016","3,203.93","3,156.93","3,300.99","3,134.02","2.32M","1.59%"
"06/01/2016","3,153.92","3,172.96","3,201.75","3,033.97","1.69M","-0.49%"
"05/01/2016","3,169.56","3,159.82","3,222.88","3,027.44","1.59M","0.41%"
"04/01/2016","3,156.75","3,213.67","3,296.52","3,107.37","2.06M","-1.91%"
"03/01/2016","3,218.09","2,881.34","3,267.78","2,863.32","3.06M","11.84%"
"02/01/2016","2,877.47","2,939.04","3,128.21","2,821.21","1.71M","-2.33%"
"01/01/2016","2,946.09","3,725.86","3,726.24","2,839.29","2.45M","-21.04%"
"12/01/2015","3,731.00","3,562.32","3,926.69","3,536.12","3.36M","4.62%"
"11/01/2015","3,566.41","3,489.23","3,891.77","3,452.62","4.39M","0.91%"
"10/01/2015","3,534.08","3,324.98","3,620.76","3,293.97","3.04M","10.34%"
"09/01/2015","3,202.95","3,296.53","3,426.65","3,131.37","3.17M","-4.86%"
"08/01/2015","3,366.54","3,766.07","4,113.16","2,952.01","5.34M","-11.79%"
"07/01/2015","3,816.70","4,408.98","4,526.13","3,537.83","9.53M","-14.67%"
"06/01/2015","4,473.00","4,862.76","5,380.43","4,000.93","9.50M","-7.60%"
"05/01/2015","4,840.83","4,757.64","5,226.84","4,445.59","7.73M","1.91%"
"04/01/2015","4,749.89","4,057.50","4,839.08","4,046.94","9.56M","17.25%"
"03/01/2015","4,051.20","3,603.45","4,166.02","3,417.49","6.84M","13.39%"
"02/01/2015","3,572.84","3,360.19","3,594.81","3,285.94","2.80M","4.03%"
"01/01/2015","3,434.39","3,566.09","3,689.75","3,325.68","5.67M","-2.81%"
"12/01/2014","3,533.71","2,825.61","3,542.34","2,804.29","9.25M","25.81%"
"11/01/2014","2,808.82","2,515.82","2,809.54","2,482.98","4.16M","11.98%"
"10/01/2014","2,508.32","2,460.87","2,512.19","2,361.68","2.31M","2.34%"
"09/01/2014","2,450.99","2,340.93","2,462.67","2,338.53","2.49M","4.82%"
"08/01/2014","2,338.29","2,341.23","2,380.77","2,309.64","2.06M","-0.51%"
"07/01/2014","2,350.25","2,169.20","2,350.55","2,134.79","1.84M","8.55%"
"06/01/2014","2,165.12","2,157.64","2,196.34","2,117.31","919.32K","0.40%"
"05/01/2014","2,156.46","2,152.59","2,185.05","2,096.51","942.77K","-0.10%"
"04/01/2014","2,158.66","2,143.72","2,290.74","2,131.78","1.30M","0.58%"
"03/01/2014","2,146.30","2,173.91","2,194.22","2,077.76","1.46M","-1.50%"
"02/01/2014","2,178.97","2,187.34","2,331.70","2,133.55","1.36M","-1.07%"
"01/01/2014","2,202.45","2,323.43","2,325.99","2,156.46","1.12M","-5.48%"
"12/01/2013","2,330.03","2,423.97","2,486.64","2,259.57","1.35M","-4.47%"
"11/01/2013","2,438.94","2,373.96","2,460.56","2,279.01","1.43M","2.75%"
"10/01/2013","2,373.72","2,406.42","2,483.13","2,327.90","1.51M","-1.47%"
"09/01/2013","2,409.04","2,319.96","2,527.38","2,297.45","1.86M","4.11%"
"08/01/2013","2,313.91","2,206.00","2,423.08","2,200.63","1.58M","5.51%"
"07/01/2013","2,193.02","2,187.09","2,351.22","2,149.79","1.50M","-0.35%"
"06/01/2013","2,200.64","2,605.97","2,625.94","2,023.17","1.11M","-15.57%"
"05/01/2013","2,606.43","2,434.60","2,661.23","2,423.08","1.44M","6.50%"
"04/01/2013","2,447.31","2,486.43","2,542.45","2,416.62","943.49K","-1.91%"
"03/01/2013","2,495.08","2,671.84","2,680.85","2,482.49","1.48M","-6.67%"
"02/01/2013","2,673.33","2,677.19","2,791.30","2,564.67","1.42M","-0.50%"
"01/01/2013","2,686.88","2,551.81","2,696.88","2,473.70","1.72M","6.50%"
"12/01/2012","2,522.95","2,136.70","2,522.95","2,102.14","1.43M","17.91%"
"11/01/2012","2,139.66","2,256.61","2,318.23","2,109.96","708.31K","-5.11%"
"10/01/2012","2,254.82","2,291.96","2,347.90","2,227.65","682.77K","-1.67%"
"09/01/2012","2,293.11","2,201.12","2,341.52","2,172.88","900.18K","4.00%"
"08/01/2012","2,204.87","2,332.13","2,413.42","2,188.72","767.01K","-5.49%"
"07/01/2012","2,332.92","2,473.54","2,490.55","2,329.50","828.94K","-5.23%"
"06/01/2012","2,461.61","2,633.60","2,653.86","2,417.49","757.12K","-6.48%"
"05/01/2012","2,632.04","2,660.67","2,717.82","2,545.34","1.14M","0.22%"
"04/01/2012","2,626.16","2,449.21","2,643.77","2,441.27","870.21K","6.98%"
"03/01/2012","2,454.90","2,622.74","2,705.75","2,429.73","1.23M","-6.80%"
"02/01/2012","2,634.14","2,458.23","2,693.84","2,423.45","1.21M","6.89%"
"01/01/2012","2,464.26","2,361.50","2,510.34","2,254.57","742.77K","5.05%"
"12/01/2011","2,345.74","2,596.15","2,630.66","2,267.11","713.63K","-6.97%"
"11/01/2011","2,521.52","2,672.51","2,781.99","2,507.18","953.91K","-6.45%"
"10/01/2011","2,695.31","2,588.35","2,729.14","2,500.49","762.68K","4.41%"
"09/01/2011","2,581.35","2,852.39","2,869.25","2,572.19","702.29K","-9.32%"
"08/01/2011","2,846.78","2,969.11","2,991.05","2,697.06","1.08M","-4.22%"
"07/01/2011","2,972.08","3,052.12","3,140.10","2,948.08","1.16M","-2.37%"
"06/01/2011","3,044.09","2,996.08","3,058.63","2,862.41","1.01M","1.42%"
"05/01/2011","3,001.56","3,192.84","3,212.05","2,942.36","968.54K","-5.99%"
"04/01/2011","3,192.72","3,227.56","3,380.53","3,147.14","1.49M","-0.95%"
"03/01/2011","3,223.29","3,241.71","3,355.49","3,147.96","1.85M","-0.50%"
"02/01/2011","3,239.56","3,083.49","3,269.05","3,024.35","1.20M","5.30%"
"01/01/2011","3,076.51","3,155.56","3,209.90","2,919.16","1.27M","-1.65%"
"12/01/2010","3,128.26","3,127.26","3,282.77","3,025.22","1.44M","-0.28%"
"11/01/2010","3,136.99","3,390.41","3,557.99","3,060.44","2.30M","-7.19%"
"10/01/2010","3,379.98","2,965.65","3,499.82","2,963.24","2.27M","15.14%"
"09/01/2010","2,935.57","2,907.66","2,991.44","2,829.76","1.26M","1.12%"
"08/01/2010","2,903.19","2,868.28","2,975.19","2,799.22","1.46M","1.20%"
"07/01/2010","2,868.85","2,557.92","2,888.60","2,462.20","1.17M","11.93%"
"06/01/2010","2,563.07","2,755.28","2,795.32","2,546.84","751.57K","-7.58%"
"05/01/2010","2,773.26","3,005.49","3,056.08","2,647.60","1.05M","-9.59%"
"04/01/2010","3,067.36","3,349.88","3,436.29","3,014.07","1.31M","-8.32%"
"03/01/2010","3,345.61","3,290.01","3,372.26","3,169.10","1.16M","1.95%"
"02/01/2010","3,281.67","3,198.23","3,301.15","3,094.57","718.10K","2.42%"
"01/01/2010","3,204.16","3,592.47","3,597.75","3,168.46","1.50M","-10.39%"
"12/01/2009","3,575.68","3,507.56","3,672.80","3,296.29","1.65M","1.82%"
"11/01/2009","3,511.67","3,205.84","3,698.13","3,198.31","1.99M","7.05%"
"10/01/2009","3,280.37","3,078.75","3,436.39","3,071.27","1.09M","9.17%"
"09/01/2009","3,004.80","2,804.58","3,330.43","2,795.49","1.62M","6.17%"
"08/01/2009","2,830.27","3,754.22","3,803.06","2,825.77","1.97M","-24.22%"
"07/01/2009","3,734.62","3,153.54","3,765.59","3,150.65","2.84M","17.94%"
"06/01/2009","3,166.47","2,798.93","3,195.72","2,798.93","2.10M","14.74%"
"05/01/2009","2,759.71","2,635.13","2,849.64","2,632.30","1.63M","5.21%"
"04/01/2009","2,622.93","2,519.89","2,713.30","2,457.42","2.13M","4.59%"
"03/01/2009","2,507.79","2,123.37","2,516.38","2,100.64","1.99M","17.16%"
"02/01/2009","2,140.49","2,052.44","2,470.62","2,029.72","2.24M","5.30%"
"01/01/2009","2,032.68","1,848.33","2,054.33","1,837.84","934.22K","11.83%"
"12/01/2008","1,817.72","1,823.77","2,107.60","1,799.84","1.44M","-0.67%"
"11/01/2008","1,829.92","1,648.56","1,994.82","1,606.73","1.22M","9.99%"
"10/01/2008","1,663.66","2,206.56","2,206.56","1,607.67","762.85K","-25.85%"
"09/01/2008","2,243.66","2,372.64","2,372.64","1,804.77","717.35K","-6.19%"
"08/01/2008","2,391.64","2,786.12","2,868.68","2,273.89","560.88K","-14.74%"
"07/01/2008","2,805.21","2,799.20","3,056.91","2,617.26","961.73K","0.48%"
"06/01/2008","2,791.82","3,600.23","3,650.48","2,691.87","649.94K","-22.69%"
"05/01/2008","3,611.33","4,015.21","4,075.57","3,533.47","839.17K","-8.78%"
"04/01/2008","3,959.12","3,776.27","3,970.57","3,122.39","900.62K","4.45%"
"03/01/2008","3,790.53","4,648.73","4,836.66","3,658.04","729.08K","-18.91%"
"02/01/2008","4,674.55","4,623.62","5,062.26","4,394.59","497.37K","1.17%"
"01/01/2008","4,620.40","5,349.76","5,756.92","4,606.14","1.11M","-13.45%"
"12/01/2007","5,338.27","4,714.92","5,391.66","4,689.52","707.41K","12.68%"
"11/01/2007","4,737.41","5,701.49","5,702.21","4,619.51","682.75K","-16.72%"
"10/01/2007","5,688.54","5,703.28","5,891.72","5,266.37","932.43K","1.93%"
"09/01/2007","5,580.81","5,335.05","5,590.85","5,059.46","1.23M","5.36%"
"08/01/2007","5,296.81","4,479.30","5,307.42","4,271.06","1.68M","18.75%"
"07/01/2007","4,460.56","3,746.18","4,467.65","3,475.27","1.12M","18.50%"
"06/01/2007","3,764.08","3,953.10","4,292.20","3,246.73","1.79M","-4.17%"
"05/01/2007","3,927.95","3,643.81","4,168.53","3,556.61","1.90M","10.38%"
"04/01/2007","3,558.71","2,793.96","3,568.68","2,793.96","1.95M","27.93%"
"03/01/2007","2,781.78","2,550.26","2,830.08","2,409.72","1.58M","9.32%"
"02/01/2007","2,544.57","2,350.60","2,719.52","2,198.90","1.01M","6.68%"
"01/01/2007","2,385.34","2,073.25","2,599.45","2,030.76","1.69M","16.87%"
"12/01/2006","2,041.05","1,719.28","2,052.86","1,705.91","1.28M","19.06%"
"11/01/2006","1,714.36","1,465.67","1,714.49","1,453.26","1.00M","17.06%"
"10/01/2006","1,464.47","1,420.36","1,464.48","1,403.01","538.31K","4.36%"
"09/01/2006","1,403.27","1,339.31","1,405.56","1,314.57","521.24K","4.82%"
"08/01/2006","1,338.69","1,292.71","1,349.20","1,221.99","407.74K","3.43%"
"07/01/2006","1,294.33","1,398.74","1,430.94","1,293.53","594.78K","-7.15%"
"06/01/2006","1,393.96","1,364.18","1,413.11","1,269.52","793.22K","2.09%"
"05/01/2006","1,365.45","1,179.58","1,387.57","1,179.58","988.14K","16.47%"
"04/01/2006","1,172.35","1,061.96","1,173.88","1,061.96","706.07K","10.49%"
"03/01/2006","1,061.09","1,051.76","1,074.04","999.93","420.44K","0.77%"
"02/01/2006","1,053.01","998.84","1,057.22","989.51","414.90K","4.30%"
"01/01/2006","1,009.60","926.56","1,009.65","926.41","374.81K","9.33%"
"12/01/2005","923.45","873.47","934.00","855.72","255.54K","5.68%"
"11/01/2005","873.83","875.96","886.74","847.49","229.23K","-0.28%"
"10/01/2005","876.28","917.21","926.09","859.69","171.93K","-4.48%"
"09/01/2005","917.39","928.52","971.99","901.38","348.10K","-1.13%"
"08/01/2005","927.92","887.72","959.34","885.85","445.92K","4.48%"
"07/01/2005","888.16","875.93","901.00","818.86","198.13K","1.08%"
"06/01/2005","878.69","855.21","925.37","807.78","312.59K","2.66%"
"05/01/2005","855.95","934.65","937.39","842.10","141.91K","-8.20%"
"04/01/2005","932.39","941.43","1,008.74","914.83","259.53K","-1.04%"
"03/01/2005","942.20","1,039.35","1,054.64","928.34","237.59K","-9.40%"
"02/01/2005","1,039.99","953.33","1,059.48","952.74","178.78K","8.91%"
"01/01/2005","954.88","994.77","1,006.46","943.44","152.60K","-4.51%"